bridge,earliest_start_day,latest_completion_day,initial_bfi,rru_cost_usd,rru_post_bfi,ert_cost_usd,ert_post_bfi,cirs_cost_usd,cirs_post_bfi
BC1C20,1,3,0.32,1340,0.62,2680,0.87,6700,1.00
BC1C30,2,6,0.39,1300,0.69,2610,0.94,6520,1.00
BC1C40,2,5,0.23,1390,0.53,2770,0.78,6920,0.98
BC1C50,2,5,0.30,1350,0.60,2700,0.85,6750,1.00
BC1C60,1,6,0.40,1300,0.70,2600,0.95,6500,1.00
BC2C30,1,6,0.26,1370,0.56,2740,0.81,6850,1.00
BC2C40,2,7,0.35,1320,0.65,2650,0.90,6620,1.00
BC2C50,1,6,0.26,1370,0.56,2740,0.81,6850,1.00
BC2C60,1,4,0.35,1320,0.65,2650,0.90,6620,1.00
BC3C40,2,4,0.25,1380,0.55,2750,0.80,6880,1.00
BC3C50,2,4,0.35,1320,0.65,2650,0.90,6620,1.00
BC3C60,0,2,0.39,1300,0.69,2610,0.94,6520,1.00
BC4C50,2,4,0.24,1380,0.54,2760,0.79,6900,0.99
BC4C60,1,3,0.39,1300,0.69,2610,0.94,6520,1.00
BC5C60,1,4,0.35,1320,0.65,2650,0.90,6620,1.00
