scenario,bridge,depot,team,route_position,start_day,completion_day,initial_bfi,restored_bfi,cost_usd,provenance
service_time_1_2_2,BC2C60,C2,RRU,1,2.0,3.0,0.35,0.65,1320,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC2C50,C2,CIRS,1,3.0,5.0,0.26,1.00,6850,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC1C30,C2,ERT,1,4.0,6.0,0.39,0.94,2610,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC2C30,C2,RRU,2,5.0,6.0,0.26,0.56,1370,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC4C50,C1,RRU,1,2.0,3.0,0.24,0.54,1380,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC1C40,C1,CIRS,1,3.0,5.0,0.23,0.98,6920,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC1C50,C1,ERT,1,3.0,5.0,0.30,0.85,2700,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC1C60,C1,RRU,2,4.0,5.0,0.40,0.70,1300,reconstructed from archived Gantt figure; not solver-certified
service_time_1_2_2,BC2C40,C1,RRU,3,6.0,7.0,0.35,0.65,1320,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC3C40,C2,CIRS,1,2.0,3.0,0.25,1.00,6880,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC3C50,C2,ERT,1,2.0,3.0,0.35,0.90,2650,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC5C60,C2,RRU,1,2.0,3.0,0.35,0.65,1320,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC1C30,C2,RRU,2,4.0,5.0,0.39,0.69,1300,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC1C60,C2,ERT,2,4.0,5.0,0.40,0.95,2600,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC2C30,C2,CIRS,2,4.0,5.0,0.26,1.00,6850,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC1C40,C1,ERT,1,2.0,3.0,0.23,0.78,2770,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC2C60,C1,RRU,1,2.0,3.0,0.35,0.65,1320,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC4C50,C1,CIRS,1,2.0,3.0,0.24,0.99,6900,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC2C50,C1,CIRS,2,4.0,5.0,0.26,1.00,6850,reconstructed from archived Gantt figure; not solver-certified
latest_completion_minus_1,BC2C40,C1,ERT,2,5.0,6.0,0.35,0.90,2650,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC1C20,C2,ERT,1,2.0,3.0,0.42,0.97,2580,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC3C40,C2,CIRS,1,2.0,3.0,0.35,1.00,6620,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC4C60,C2,RRU,1,2.0,3.0,0.49,0.79,1250,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC1C30,C2,RRU,2,4.0,5.0,0.49,0.79,1250,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC1C40,C2,CIRS,2,4.0,5.0,0.33,1.00,6670,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC1C50,C2,ERT,2,4.0,5.0,0.40,0.95,2600,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC2C40,C2,CIRS,3,6.0,7.0,0.45,1.00,6380,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC2C60,C1,ERT,1,2.0,3.0,0.45,1.00,2550,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC4C50,C1,CIRS,1,2.0,3.0,0.34,1.00,6650,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC5C60,C1,RRU,1,2.0,3.0,0.45,0.75,1270,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC1C60,C1,RRU,2,4.0,5.0,0.50,0.80,1250,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC2C30,C1,CIRS,2,4.0,5.0,0.36,1.00,6600,reconstructed from archived Gantt figure; not solver-certified
initial_bfi_plus_0_10,BC2C50,C1,ERT,2,4.0,5.0,0.36,0.91,2640,reconstructed from archived Gantt figure; not solver-certified
