source,target,shortest_path,hours,days_used_by_model
C1,C2,C1->BC1C20->C2,0.0791666667,0.0032986111
C1,C3,C1->BC1C30->C3,0.1125000000,0.0046875000
C1,C4,C1->BC1C40->C4,0.0666666667,0.0027777778
C1,C5,C1->BC1C40->C4->BC4C50->C5,0.1125000000,0.0046875000
C1,C6,C1->BC1C20->C2->BC2C60->C6,0.1041666667,0.0043402778
C1,BC1C20,C1->BC1C20,0.0166666667,0.0006944444
C1,BC1C30,C1->BC1C30,0.0500000000,0.0020833333
C1,BC1C40,C1->BC1C40,0.0166666667,0.0006944444
C1,BC1C50,C1->BC1C50,0.0750000000,0.0031250000
C1,BC1C60,C1->BC1C60,0.1000000000,0.0041666667
C1,BC2C30,C1->BC1C20->C2->BC2C30,0.1041666667,0.0043402778
C1,BC2C40,C1->BC1C20->C2->BC2C40,0.1041666667,0.0043402778
C1,BC2C50,C1->BC1C20->C2->BC2C50,0.1041666667,0.0043402778
C1,BC2C60,C1->BC1C20->C2->BC2C60,0.0875000000,0.0036458333
C1,BC3C40,C1->BC1C40->C4->BC3C40,0.1000000000,0.0041666667
C1,BC3C50,C1->BC1C30->C3->BC3C50,0.1375000000,0.0057291667
C1,BC3C60,C1->BC1C30->C3->BC3C60,0.1291666667,0.0053819444
C1,BC4C50,C1->BC1C40->C4->BC4C50,0.0791666667,0.0032986111
C1,BC4C60,C1->BC1C40->C4->BC4C60,0.1166666667,0.0048611111
C1,BC5C60,C1->BC1C40->C4->BC4C50->C5->BC5C60,0.1250000000,0.0052083333
C2,C1,C2->BC1C20->C1,0.0791666667,0.0032986111
C2,C3,C2->BC2C30->C3,0.0666666667,0.0027777778
C2,C4,C2->BC2C40->C4,0.0625000000,0.0026041667
C2,C5,C2->BC2C60->C6->BC5C60->C5,0.0708333333,0.0029513889
C2,C6,C2->BC2C60->C6,0.0250000000,0.0010416667
C2,BC1C20,C2->BC1C20,0.0625000000,0.0026041667
C2,BC1C30,C2->BC1C20->C1->BC1C30,0.1291666667,0.0053819444
C2,BC1C40,C2->BC1C20->C1->BC1C40,0.0958333333,0.0039930556
C2,BC1C50,C2->BC2C60->C6->BC5C60->C5->BC1C50,0.1208333333,0.0050347222
C2,BC1C60,C2->BC2C60->C6->BC1C60,0.0750000000,0.0031250000
C2,BC2C30,C2->BC2C30,0.0250000000,0.0010416667
C2,BC2C40,C2->BC2C40,0.0250000000,0.0010416667
C2,BC2C50,C2->BC2C50,0.0250000000,0.0010416667
C2,BC2C60,C2->BC2C60,0.0083333333,0.0003472222
C2,BC3C40,C2->BC2C30->C3->BC3C40,0.0916666667,0.0038194444
C2,BC3C50,C2->BC2C30->C3->BC3C50,0.0916666667,0.0038194444
C2,BC3C60,C2->BC2C60->C6->BC3C60,0.0625000000,0.0026041667
C2,BC4C50,C2->BC2C40->C4->BC4C50,0.0750000000,0.0031250000
C2,BC4C60,C2->BC2C60->C6->BC4C60,0.1083333333,0.0045138889
C2,BC5C60,C2->BC2C60->C6->BC5C60,0.0583333333,0.0024305556
C3,C1,C3->BC1C30->C1,0.1125000000,0.0046875000
C3,C2,C3->BC2C30->C2,0.0666666667,0.0027777778
C3,C4,C3->BC3C40->C4,0.0583333333,0.0024305556
C3,C5,C3->BC3C50->C5,0.0583333333,0.0024305556
C3,C6,C3->BC3C60->C6,0.0541666667,0.0022569444
C3,BC1C20,C3->BC1C30->C1->BC1C20,0.1291666667,0.0053819444
C3,BC1C30,C3->BC1C30,0.0625000000,0.0026041667
C3,BC1C40,C3->BC3C40->C4->BC1C40,0.1083333333,0.0045138889
C3,BC1C50,C3->BC3C50->C5->BC1C50,0.1083333333,0.0045138889
C3,BC1C60,C3->BC3C60->C6->BC1C60,0.1041666667,0.0043402778
C3,BC2C30,C3->BC2C30,0.0416666667,0.0017361111
C3,BC2C40,C3->BC2C30->C2->BC2C40,0.0916666667,0.0038194444
C3,BC2C50,C3->BC2C30->C2->BC2C50,0.0916666667,0.0038194444
C3,BC2C60,C3->BC3C60->C6->BC2C60,0.0708333333,0.0029513889
C3,BC3C40,C3->BC3C40,0.0250000000,0.0010416667
C3,BC3C50,C3->BC3C50,0.0250000000,0.0010416667
C3,BC3C60,C3->BC3C60,0.0166666667,0.0006944444
C3,BC4C50,C3->BC3C40->C4->BC4C50,0.0708333333,0.0029513889
C3,BC4C60,C3->BC3C40->C4->BC4C60,0.1083333333,0.0045138889
C3,BC5C60,C3->BC3C50->C5->BC5C60,0.0708333333,0.0029513889
C4,C1,C4->BC1C40->C1,0.0666666667,0.0027777778
C4,C2,C4->BC2C40->C2,0.0625000000,0.0026041667
C4,C3,C4->BC3C40->C3,0.0583333333,0.0024305556
C4,C5,C4->BC4C50->C5,0.0458333333,0.0019097222
C4,C6,C4->BC2C40->C2->BC2C60->C6,0.0875000000,0.0036458333
C4,BC1C20,C4->BC1C40->C1->BC1C20,0.0833333333,0.0034722222
C4,BC1C30,C4->BC1C40->C1->BC1C30,0.1166666667,0.0048611111
C4,BC1C40,C4->BC1C40,0.0500000000,0.0020833333
C4,BC1C50,C4->BC4C50->C5->BC1C50,0.0958333333,0.0039930556
C4,BC1C60,C4->BC2C40->C2->BC2C60->C6->BC1C60,0.1375000000,0.0057291667
C4,BC2C30,C4->BC2C40->C2->BC2C30,0.0875000000,0.0036458333
C4,BC2C40,C4->BC2C40,0.0375000000,0.0015625000
C4,BC2C50,C4->BC2C40->C2->BC2C50,0.0875000000,0.0036458333
C4,BC2C60,C4->BC2C40->C2->BC2C60,0.0708333333,0.0029513889
C4,BC3C40,C4->BC3C40,0.0333333333,0.0013888889
C4,BC3C50,C4->BC4C50->C5->BC3C50,0.0791666667,0.0032986111
C4,BC3C60,C4->BC3C40->C3->BC3C60,0.0750000000,0.0031250000
C4,BC4C50,C4->BC4C50,0.0125000000,0.0005208333
C4,BC4C60,C4->BC4C60,0.0500000000,0.0020833333
C4,BC5C60,C4->BC4C50->C5->BC5C60,0.0583333333,0.0024305556
