source,C1,C2,C3,C4,C5,C6,BC1C20,BC1C30,BC1C40,BC1C50,BC1C60,BC2C30,BC2C40,BC2C50,BC2C60,BC3C40,BC3C50,BC3C60,BC4C50,BC4C60,BC5C60
C1,0,0.0791666667,0.1125000000,0.0666666667,0.1125000000,0.1041666667,0.0166666667,0.0500000000,0.0166666667,0.0750000000,0.1000000000,0.1041666667,0.1041666667,0.1041666667,0.0875000000,0.1000000000,0.1375000000,0.1291666667,0.0791666667,0.1166666667,0.1250000000
C2,0.0791666667,0,0.0666666667,0.0625000000,0.0708333333,0.0250000000,0.0625000000,0.1291666667,0.0958333333,0.1208333333,0.0750000000,0.0250000000,0.0250000000,0.0250000000,0.0083333333,0.0916666667,0.0916666667,0.0625000000,0.0750000000,0.1083333333,0.0583333333
C3,0.1125000000,0.0666666667,0,0.0583333333,0.0583333333,0.0541666667,0.1291666667,0.0625000000,0.1083333333,0.1083333333,0.1041666667,0.0416666667,0.0916666667,0.0916666667,0.0708333333,0.0250000000,0.0250000000,0.0166666667,0.0708333333,0.1083333333,0.0708333333
C4,0.0666666667,0.0625000000,0.0583333333,0,0.0458333333,0.0875000000,0.0833333333,0.1166666667,0.0500000000,0.0958333333,0.1375000000,0.0875000000,0.0375000000,0.0875000000,0.0708333333,0.0333333333,0.0791666667,0.0750000000,0.0125000000,0.0500000000,0.0583333333
C5,0.1125000000,0.0708333333,0.0583333333,0.0458333333,0,0.0458333333,0.1291666667,0.1208333333,0.0958333333,0.0500000000,0.0958333333,0.0958333333,0.0833333333,0.0500000000,0.0625000000,0.0791666667,0.0333333333,0.0750000000,0.0333333333,0.0958333333,0.0125000000
C6,0.1041666667,0.0250000000,0.0541666667,0.0875000000,0.0458333333,0,0.0875000000,0.1166666667,0.1208333333,0.0958333333,0.0500000000,0.0500000000,0.0500000000,0.0500000000,0.0166666667,0.0791666667,0.0791666667,0.0375000000,0.0791666667,0.0833333333,0.0333333333
BC1C20,0.0166666667,0.0625000000,0.1291666667,0.0833333333,0.1291666667,0.0875000000,0,0.0666666667,0.0333333333,0.0916666667,0.1166666667,0.0875000000,0.0875000000,0.0875000000,0.0708333333,0.1166666667,0.1541666667,0.1250000000,0.0958333333,0.1333333333,0.1208333333
BC1C30,0.0500000000,0.1291666667,0.0625000000,0.1166666667,0.1208333333,0.1166666667,0.0666666667,0,0.0666666667,0.1250000000,0.1500000000,0.1041666667,0.1541666667,0.1541666667,0.1333333333,0.0875000000,0.0875000000,0.0791666667,0.1291666667,0.1666666667,0.1333333333
BC1C40,0.0166666667,0.0958333333,0.1083333333,0.0500000000,0.0958333333,0.1208333333,0.0333333333,0.0666666667,0,0.0916666667,0.1166666667,0.1208333333,0.0875000000,0.1208333333,0.1041666667,0.0833333333,0.1291666667,0.1250000000,0.0625000000,0.1000000000,0.1083333333
BC1C50,0.0750000000,0.1208333333,0.1083333333,0.0958333333,0.0500000000,0.0958333333,0.0916666667,0.1250000000,0.0916666667,0,0.1458333333,0.1458333333,0.1333333333,0.1000000000,0.1125000000,0.1291666667,0.0833333333,0.1250000000,0.0833333333,0.1458333333,0.0625000000
BC1C60,0.1000000000,0.0750000000,0.1041666667,0.1375000000,0.0958333333,0.0500000000,0.1166666667,0.1500000000,0.1166666667,0.1458333333,0,0.1000000000,0.1000000000,0.1000000000,0.0666666667,0.1291666667,0.1291666667,0.0875000000,0.1291666667,0.1333333333,0.0833333333
BC2C30,0.1041666667,0.0250000000,0.0416666667,0.0875000000,0.0958333333,0.0500000000,0.0875000000,0.1041666667,0.1208333333,0.1458333333,0.1000000000,0,0.0500000000,0.0500000000,0.0333333333,0.0666666667,0.0666666667,0.0583333333,0.1000000000,0.1333333333,0.0833333333
BC2C40,0.1041666667,0.0250000000,0.0916666667,0.0375000000,0.0833333333,0.0500000000,0.0875000000,0.1541666667,0.0875000000,0.1333333333,0.1000000000,0.0500000000,0,0.0500000000,0.0333333333,0.0708333333,0.1166666667,0.0875000000,0.0500000000,0.0875000000,0.0833333333
BC2C50,0.1041666667,0.0250000000,0.0916666667,0.0875000000,0.0500000000,0.0500000000,0.0875000000,0.1541666667,0.1208333333,0.1000000000,0.1000000000,0.0500000000,0.0500000000,0,0.0333333333,0.1166666667,0.0833333333,0.0875000000,0.0833333333,0.1333333333,0.0625000000
BC2C60,0.0875000000,0.0083333333,0.0708333333,0.0708333333,0.0625000000,0.0166666667,0.0708333333,0.1333333333,0.1041666667,0.1125000000,0.0666666667,0.0333333333,0.0333333333,0.0333333333,0,0.0958333333,0.0958333333,0.0541666667,0.0833333333,0.1000000000,0.0500000000
BC3C40,0.1000000000,0.0916666667,0.0250000000,0.0333333333,0.0791666667,0.0791666667,0.1166666667,0.0875000000,0.0833333333,0.1291666667,0.1291666667,0.0666666667,0.0708333333,0.1166666667,0.0958333333,0,0.0500000000,0.0416666667,0.0458333333,0.0833333333,0.0916666667
BC3C50,0.1375000000,0.0916666667,0.0250000000,0.0791666667,0.0333333333,0.0791666667,0.1541666667,0.0875000000,0.1291666667,0.0833333333,0.1291666667,0.0666666667,0.1166666667,0.0833333333,0.0958333333,0.0500000000,0,0.0416666667,0.0666666667,0.1291666667,0.0458333333
BC3C60,0.1291666667,0.0625000000,0.0166666667,0.0750000000,0.0750000000,0.0375000000,0.1250000000,0.0791666667,0.1250000000,0.1250000000,0.0875000000,0.0583333333,0.0875000000,0.0875000000,0.0541666667,0.0416666667,0.0416666667,0,0.0875000000,0.1208333333,0.0708333333
BC4C50,0.0791666667,0.0750000000,0.0708333333,0.0125000000,0.0333333333,0.0791666667,0.0958333333,0.1291666667,0.0625000000,0.0833333333,0.1291666667,0.1000000000,0.0500000000,0.0833333333,0.0833333333,0.0458333333,0.0666666667,0.0875000000,0,0.0625000000,0.0458333333
BC4C60,0.1166666667,0.1083333333,0.1083333333,0.0500000000,0.0958333333,0.0833333333,0.1333333333,0.1666666667,0.1000000000,0.1458333333,0.1333333333,0.1333333333,0.0875000000,0.1333333333,0.1000000000,0.0833333333,0.1291666667,0.1208333333,0.0625000000,0,0.1083333333
